"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","educ_hs","educ_ce","s1self","chosenbody","s1selfjudge","s2selfjudge","s2self","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","lsns_fam_1","lsns_fam_2","lsns_fam_3","lsns_fri_1","lsns_fri_2","lsns_fri_3","debrief","rt","url","success","view_history","responses","question_order","final_value","start_value","stimulus","key_press","trial","block","freq"
"pavlovia","0","3","0.0-0.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","","","","","","","","","","","","",""
"external-html","1","21335","0.0-1.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","21122.5","sub/html/consent.html","","","","","","","","","","",""
"fullscreen","2","28862","0.0-2.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","","","true","","","","","","","","","",""
"instructions","3","36996","0.0-3.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","8132.199999999255","","","[{""page_index"":0,""viewing_time"":1603.0999999977648},{""page_index"":1,""viewing_time"":6528.900000002235}]","","","","","","","","",""
"survey-text","4","101924","0.0-4.0-0.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","64924.599999997765","","","","{""ID"":""6110e27590848aeaee9fc49a"",""age"":""19"",""dob"":""10/2001"",""marital"":""In a relationship"",""natlang"":""English"",""olang"":""N/A""}","","","","","","","",""
"survey-multi-choice","5","132987","0.0-4.0-1.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","31060.599999997765","","","","{""gender"":""Female"",""ethnicity"":""Asian"",""mental_check"":""No"",""educ_l"":""High School"",""educ_c"":""Yes, Undergraduate studies""}","[0,1,2,3,4]","","","","","","",""
"survey-text","6","179478","0.0-4.0-2.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","46488.60000000149","","","","{""mental"":""N/A"",""mentdrug"":""N/A"",""mentpos"":""N/A""}","","","","","","","",""
"survey-likert","7","243821","0.0-4.0-3.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","64342.099999997765","","","","{""sesparent"":5,""sesstudent"":4,""sesladder"":4}","[0,1,2]","","","","","","",""
"survey-likert","8","255614","0.0-4.0-4.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","11791.5","","","","{""educ_hs"":1,""educ_ce"":13}","[0,1]","","","","","","",""
"reconstruction","9","261709","0.0-5.0","nx58ov4n9htpu4z","1","6110e27590848aeaee9fc49a","19","10/2001","In a relationship","English","N/A","Female","Asian","No","High School","Yes, Undergraduate studies","N/A","N/A","N/A","5","4","4","1","0","0.5","stim/N000.jpg","65","76","0.433333316","3","0","3","","3","2","3","3","3","2","3","4","1","3","1","1","5","6","1","5","5","1","7","2","4","4","1","4","5","5","1","5","6","5","1","1","3","1","3","3","2","2","4","3","3","3","4","4","4","1","4","2","3","2","4","1","4","4","2","4","3","4","4","3","2","agree","6093.5","","","","","","0.5","0.5","","","","",""
