"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","educ_hs","educ_ce","s1self","chosenbody","s1selfjudge","s2selfjudge","s2self","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","lsns_fam_1","lsns_fam_2","lsns_fam_3","lsns_fri_1","lsns_fri_2","lsns_fri_3","debrief","rt","url","success","view_history","responses","question_order","final_value","start_value","stimulus","key_press","trial","block","freq"
"pavlovia","0","7","0.0-0.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","","","","","","","","","","","","",""
"external-html","1","96484","0.0-1.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","96229.79999999702","sub/html/consent.html","","","","","","","","","","",""
"fullscreen","2","100740","0.0-2.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","","","true","","","","","","","","","",""
"instructions","3","105612","0.0-3.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","4869.5","","","[{""page_index"":0,""viewing_time"":2035.7999999970198},{""page_index"":1,""viewing_time"":2832.2000000029802}]","","","","","","","","",""
"survey-text","4","138896","0.0-4.0-0.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","33246.70000000298","","","","{""ID"":""611dbeedf19e4698d963ff1f"",""age"":""20"",""dob"":""02/2001"",""marital"":""single"",""natlang"":""english "",""olang"":""Cantonese, Vietnamese""}","","","","","","","",""
"survey-multi-choice","5","158880","0.0-4.0-1.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","19976.89999999106","","","","{""gender"":""Female"",""ethnicity"":""Asian"",""mental_check"":""No"",""educ_l"":""High School"",""educ_c"":""Yes, Undergraduate studies""}","[0,1,2,3,4]","","","","","","",""
"survey-text","6","168064","0.0-4.0-2.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","9155","","","","{""mental"":""n/a"",""mentdrug"":""n/a"",""mentpos"":""n/a""}","","","","","","","",""
"survey-likert","7","237234","0.0-4.0-3.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","69163.90000000596","","","","{""sesparent"":6,""sesstudent"":1,""sesladder"":2}","[0,1,2]","","","","","","",""
"survey-likert","8","254979","0.0-4.0-4.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","17731.90000000596","","","","{""educ_hs"":1,""educ_ce"":3}","[0,1]","","","","","","",""
"reconstruction","9","281470","0.0-5.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","26478.79999999702","","","","","","0.49999997999999996","0.5","","","","",""
"image-keyboard-response","10","288615","0.0-6.0","vbof7925wnw8b3s","1","611dbeedf19e4698d963ff1f","20","02/2001","single","english ","Cantonese, Vietnamese","Female","Asian","No","High School","Yes, Undergraduate studies","n/a","n/a","n/a","6","1","2","0","3","0.49999997999999996","stim/N000.jpg","65","65","0.366666672","3","0","4","","4","2","3","1","0","4","4","4","0","1","0","0","5","5","2","5","6","1","4","0","0","5","0","5","5","5","0","5","5","5","4","4","3","0","0","0","3","3","0","5","2","2","4","4","4","1","6","6","6","6","4","4","6","6","0","4","2","2","4","3","3","agree","7140.5999999940395","","","","","","","","stim/N000.jpg","65","","",""
