"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","educ_hs","educ_ce","s1self","chosenbody","s1selfjudge","s2selfjudge","s2self","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","lsns_fam_1","lsns_fam_2","lsns_fam_3","lsns_fri_1","lsns_fri_2","lsns_fri_3","debrief","rt","url","success","view_history","responses","question_order","final_value","start_value","stimulus","key_press","trial","block","freq"
"pavlovia","0","4","0.0-0.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","","","","","","","","","","","","",""
"external-html","1","6616","0.0-1.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","6465.899999991059","sub/html/consent.html","","","","","","","","","","",""
"fullscreen","2","9426","0.0-2.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","","","true","","","","","","","","","",""
"instructions","3","15407","0.0-3.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","5980.0999999940395","","","[{""page_index"":0,""viewing_time"":3067.5},{""page_index"":1,""viewing_time"":2911.7999999970198}]","","","","","","","","",""
"survey-text","4","51262","0.0-4.0-0.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","35838.60000000894","","","","{""ID"":""60feda9a21964047d2a68b74"",""age"":""22"",""dob"":""12/1998"",""marital"":""In a relationship"",""natlang"":""English"",""olang"":""Mandarin""}","","","","","","","",""
"survey-multi-choice","5","70222","0.0-4.0-1.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","18957","","","","{""gender"":""Female"",""ethnicity"":""Asian"",""mental_check"":""No"",""educ_l"":""Undergraduate degree"",""educ_c"":""No, currently not in school""}","[0,1,2,3,4]","","","","","","",""
"survey-text","6","87355","0.0-4.0-2.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","17123.70000000298","","","","{""mental"":""N/A"",""mentdrug"":""N/A"",""mentpos"":""N/A""}","","","","","","","",""
"survey-likert","7","112729","0.0-4.0-3.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","25371.09999999404","","","","{""sesparent"":9,""sesstudent"":9,""sesladder"":7}","[0,1,2]","","","","","","",""
"survey-likert","8","135952","0.0-4.0-4.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","23218.09999999404","","","","{""educ_hs"":0,""educ_ce"":13}","[0,1]","","","","","","",""
"reconstruction","9","177735","0.0-5.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","41779.5","","","","","","0.5","0.5","","","","",""
"image-keyboard-response","10","181255","0.0-6.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","3516.8999999910593","","","","","","","","stim/N000.jpg","76","","",""
"instructions","11","211307","0.0-7.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","30052.29999999702","","","[{""page_index"":0,""viewing_time"":4144},{""page_index"":1,""viewing_time"":7250.29999999702},{""page_index"":2,""viewing_time"":7211.5},{""page_index"":3,""viewing_time"":2389.6000000089407},{""page_index"":4,""viewing_time"":2572.2999999970198},{""page_index"":5,""viewing_time"":5486.70000000298},{""page_index"":6,""viewing_time"":997.1999999880791}]","","","","","","","","",""
"image-keyboard-response","12","211810","0.0-8.0-0.0","bfvzapnfac2mtjr","1","60feda9a21964047d2a68b74","22","12/1998","In a relationship","English","Mandarin","Female","Asian","No","Undergraduate degree","No, currently not in school","N/A","N/A","N/A","9","9","7","1","0","0.5","stim/N000.jpg","76","65","0.483333334","3","1","3","","2","1","3","2","1","2","2","3","0","3","0","3","4","5","1","5","5","1","3","2","3","5","1","5","5","5","1","5","5","5","1","1","2","0","0","2","3","2","4","5","3","1","3","3","4","1","5","4","5","5","5","4","5","5","3","3","3","1","3","3","3","agree","null","","","","","","","","stim/T220.jpg","null","","",""
