"trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","ID","age","dob","marital","natlang","olang","gender","ethnicity","mental_check","educ_l","educ_c","mental","mentdrug","mentpos","sesparent","sesstudent","sesladder","educ_hs","educ_ce","s1self","chosenbody","s1selfjudge","s2selfjudge","s2self","sspc_01","sspc_02","pas_01","pas_02","pas_03","pas_04","pas_05","pas_06","pas_07","pas_08","pas_09","pas_10","pas_11","pas_12","pas_13","pas_14","contact_01","contact_02","contact_03","contact_04","contact_05","contact_06","contact_07","contact_08","contact_09","idnd_01","idnd_02","idnd_03","idnd_04","idnd_05","idnd_06","idnd_07","idnd_08","catch_01","adig_01","adig_02","adig_03","plcs_01","plcs_02","plcs_03","plcs_04","plcs_05","plcs_06","plcs_07","plcs_08","plcs_09","plcs_10","plcs_11","plcs_12","catch_02","wwwp_01","wwwp_02","wwwp_03","wwwp_04","wwwp_05","wwwp_06","wwwp_07","wwwp_08","wwwp_09","lsns_fam_1","lsns_fam_2","lsns_fam_3","lsns_fri_1","lsns_fri_2","lsns_fri_3","debrief","rt","url","success","view_history","responses","question_order","final_value","start_value","stimulus","key_press","trial","block","freq"
"pavlovia","0","3","0.0-0.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","","","","","","","","","","","","",""
"external-html","1","12226","0.0-1.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","11996","sub/html/consent.html","","","","","","","","","","",""
"fullscreen","2","15264","0.0-2.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","","","true","","","","","","","","","",""
"instructions","3","19097","0.0-3.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","3831","","","[{""page_index"":0,""viewing_time"":1543},{""page_index"":1,""viewing_time"":2288}]","","","","","","","","",""
"survey-text","4","57955","0.0-4.0-0.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","38853","","","","{""ID"":""60fced859ee8235b63d47240"",""age"":""28"",""dob"":""071993"",""marital"":""Single"",""natlang"":""English"",""olang"":""French""}","","","","","","","",""
"survey-multi-choice","5","77498","0.0-4.0-1.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","19541","","","","{""gender"":""Female"",""ethnicity"":""White or Caucasian"",""mental_check"":""No"",""educ_l"":""Graduate degree"",""educ_c"":""No, currently not in school""}","[0,1,2,3,4]","","","","","","",""
"survey-text","6","88554","0.0-4.0-2.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","11052","","","","{""mental"":""N/A"",""mentdrug"":""N/A"",""mentpos"":""N/A""}","","","","","","","",""
"survey-likert","7","110955","0.0-4.0-3.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","22398","","","","{""sesparent"":9,""sesstudent"":8,""sesladder"":7}","[0,1,2]","","","","","","",""
"survey-likert","8","121395","0.0-4.0-4.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","10435","","","","{""educ_hs"":2,""educ_ce"":1}","[0,1]","","","","","","",""
"reconstruction","9","153496","0.0-5.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","32097","","","","","","0.766666676","0.5","","","","",""
"image-keyboard-response","10","158816","0.0-6.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","5317","","","","","","","","stim/H160.jpg","76","","",""
"instructions","11","182401","0.0-7.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","23583","","","[{""page_index"":0,""viewing_time"":1366},{""page_index"":1,""viewing_time"":4744},{""page_index"":2,""viewing_time"":3760},{""page_index"":3,""viewing_time"":3288},{""page_index"":4,""viewing_time"":4329},{""page_index"":5,""viewing_time"":4480},{""page_index"":6,""viewing_time"":1616}]","","","","","","","","",""
"image-keyboard-response","12","182904","0.0-8.0-0.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/H280.jpg","null","","",""
"html-keyboard-response","13","184230","0.0-8.0-1.0","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","1326","","","","","","","","<div style=""font-size:60px;"">?</div>","76","1","Practice","0.5"
"image-keyboard-response","14","185247","0.0-8.0-0.1","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/T220.jpg","null","","",""
"html-keyboard-response","15","185293","0.0-8.0-1.1","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","45","","","","","","","","<div style=""font-size:60px;"">?</div>","65","2","Practice","0.5"
"image-keyboard-response","16","186309","0.0-8.0-0.2","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/T240.jpg","null","","",""
"html-keyboard-response","17","186311","0.0-8.0-1.2","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","2","","","","","","","","<div style=""font-size:60px;"">?</div>","65","3","Practice","0.5"
"image-keyboard-response","18","187328","0.0-8.0-0.3","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/T110.jpg","null","","",""
"html-keyboard-response","19","187352","0.0-8.0-1.3","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","24","","","","","","","","<div style=""font-size:60px;"">?</div>","65","4","Practice","0.5"
"image-keyboard-response","20","188369","0.0-8.0-0.4","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/T140.jpg","null","","",""
"html-keyboard-response","21","189272","0.0-8.0-1.4","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","903","","","","","","","","<div style=""font-size:60px;"">?</div>","65","5","Practice","0.5"
"image-keyboard-response","22","190291","0.0-8.0-0.5","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/H150.jpg","null","","",""
"html-keyboard-response","23","190506","0.0-8.0-1.5","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","213","","","","","","","","<div style=""font-size:60px;"">?</div>","76","6","Practice","0.5"
"image-keyboard-response","24","191528","0.0-8.0-0.6","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/H050.jpg","null","","",""
"html-keyboard-response","25","191569","0.0-8.0-1.6","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","41","","","","","","","","<div style=""font-size:60px;"">?</div>","76","7","Practice","0.5"
"image-keyboard-response","26","192591","0.0-8.0-0.7","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/H060.jpg","null","","",""
"html-keyboard-response","27","194258","0.0-8.0-1.7","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","1666","","","","","","","","<div style=""font-size:60px;"">?</div>","76","8","Practice","0.5"
"image-keyboard-response","28","195274","0.0-8.0-0.8","ers5m2z9jlf1lvl","1","60fced859ee8235b63d47240","28","071993","Single","English","French","Female","White or Caucasian","No","Graduate degree","No, currently not in school","N/A","N/A","N/A","9","8","7","1","4","0.766666676","stim/H160.jpg","76","76","0.66666666","4","1","3","","1","3","4","2","4","3","3","4","1","3","1","2","5","5","1","5","5","2","10","2","1","5","0","5","5","5","0","5","5","5","1","1","2","1","1","2","4","3","4","5","1","1","4","3","4","1","5","3","4","3","3","3","5","3","0","3","4","3","3","4","4","agree","null","","","","","","","","stim/T180.jpg","null","","",""
